"Name","AppUserModelID","InstallLocation","Publisher"
"Microsoft.WindowsAppRuntime.CBS.1.6",,"C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.vNext.CBS_8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.WindowsAppRuntime.CBS",,"C:\Windows\SystemApps\Microsoft.WindowsAppRuntime.CBS_8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Microsoft.XboxGameCallableUI",,"C:\Windows\SystemApps\Microsoft.XboxGameCallableUI_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.Client.AIX",,"C:\Windows\SystemApps\MicrosoftWindows.Client.AIX_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.Client.CBS",,"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.Client.Core",,"C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.Client.FileExp",,"C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.Client.OOBE",,"C:\Windows\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.Client.Photon",,"C:\Windows\SystemApps\MicrosoftWindows.Client.Photon_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.LKG.AccountsService",,"C:\Windows\SystemApps\LKG\MicrosoftWindows.LKG.AccountsService_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.LKG.IrisService",,"C:\Windows\SystemApps\LKG\MicrosoftWindows.LKG.IrisService_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.LKG.TwinSxS",,"C:\Windows\SystemApps\LKG\MicrosoftWindows.LKG.TwinSxS_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"MicrosoftWindows.UndockedDevKit",,"C:\Windows\SystemApps\MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"NcsiUwpApp",,"C:\Windows\SystemApps\NcsiUwpApp_8wekyb3d8bbwe","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Windows.CBSPreview",,"C:\Windows\SystemApps\Windows.CBSPreview_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"windows.immersivecontrolpanel",,"C:\Windows\ImmersiveControlPanel","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"Windows.PrintDialog",,"C:\Windows\SystemApps\Windows.PrintDialog_cw5n1h2txyewy","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
